,,,,,,,,,,,,,,,,,
Servicios,Monto Total,Monto Unitario,,,,,,,,,,,,,,,
Agua,10500.00,1050.00,,,,,,,,,,,,,,,
Luz,53815.00,5979.44,,,,,,,,,,,,,,,
Teléfono,6747.48,749.72,,,,,,,,,,,,,,,
Celular,3660.65,406.74,,,,,,,,,,,,,,,
Internet,19486.02,2165.11,,,,,,,,,,,,,,,
Alquiler,332500.00,36944.44,,,,,,,,,,,,,,,
Aseo,18000.00,2000.00,,,,,,,,,,,,,,,
Cable,10000.00,1111.11,,,,T. total en min:,188,,,,,,,,,,
Asociación,0.00,0.00,CELL,TEL,,monto,5641,,,,,,,,,,
Emma,0.00,,0,0,,TELEFONO,,,,,,,,,,,
Javier,0.00,,0,0,,tiempo,total,,,,,,,,,,
Chepe,1350.24,,1350.24,0,,45,1350.2393617021,,,,,,,,,,
Nathanael,0.00,,0,0,,Entre Todos CEL:,3660.65,,,,,,,,,,
Guillermo,630.11,1980.35,630.11,0,,Entre Todos TEL:,5641,,,,,,,,,,
Bryan,0.00,,0,0,,37065,,,,,,,,,,,
Diego,0.00,,0,0,,37065,,,,,,,,,,,
Mike,0.00,,0,0,,,,,,,,,,,,,
JuanPi,0.00,,0,0,,,,,,,,,,,,,
Otra choza,1050.00,total:,1980.35,0,,,,,,,,,,,,,
1050,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MAE,AGUA,LUZ,TELEFONO,CELULAR,INTERNET,ALQUILER,ASEO,MULTAS,MORA,CABLE,SUB-TOTAL,ASOCIASIÓN,TOTAL*,TOTAL,ABONO,SALDO,SALDO
Emma,1050.00,5979.44,749.72,406.74,2165.11,36944.44,2000.00,0,-4695,1111.11,45711.57,0.00,45711.57,45710.00,50000.00,-4288.43,-4290
Javier,1050.00,5979.44,749.72,406.74,2165.11,36944.44,2000.00,0,5825,1111.11,56231.57,0.00,56231.57,56230.00,56000.00,231.57,230
